거래처,제품코드,수량,납기일,상태
(주)삼성전자,PCB-A2401,5000,2026-07-18,진행중
LG이노텍,PCB-B1802,3000,2026-07-20,진행중
현대모비스,PCB-C3305,8000,2026-07-15,지연우려
(주)코리아서킷,PCB-D0401,1500,2026-07-25,예정
SKC,PCB-E0502,4200,2026-07-22,진행중
(주)대덕전자,PCB-F0601,2600,2026-07-10,납기완료
(주)삼성전자,PCB-B1802,3500,2026-07-08,납기완료
LG이노텍,PCB-C3305,4800,2026-07-05,납기지연
현대모비스,PCB-A2401,6000,2026-07-28,예정
(주)코리아서킷,PCB-E0502,2200,2026-08-01,예정
SKC,PCB-D0401,1800,2026-07-30,예정
(주)대덕전자,PCB-A2401,5500,2026-08-05,예정
(주)삼성전자,PCB-C3305,7200,2026-07-12,납기완료
LG이노텍,PCB-F0601,3100,2026-08-08,예정
