발주번호,발주일,입고예정일,공급업체,자재명,단위,수량,단가(원),상태
PO-2607-001,2026-07-01,2026-07-08,(주)일신소재,동박적층판(CCL),장,500,3800,입고완료
PO-2607-001,2026-07-01,2026-07-08,(주)일신소재,드라이필름,Roll,20,45000,입고완료
PO-2607-002,2026-07-03,2026-07-06,(주)대흥드릴,드릴비트 세트,세트,30,120000,입고완료
PO-2607-003,2026-07-05,2026-07-12,(주)한국솔더마스크,솔더마스크 잉크,kg,50,18000,부분입고
PO-2607-003,2026-07-05,2026-07-12,(주)한국솔더마스크,현상액,L,100,4500,부분입고
PO-2607-004,2026-07-08,2026-07-15,코리아동박(주),동박적층판(CCL),장,800,3750,발주완료
PO-2607-005,2026-07-10,2026-07-14,(주)동양CCL,동박적층판(CCL),장,300,3900,발주완료
PO-2607-005,2026-07-10,2026-07-14,(주)동양CCL,기판 절단날,개,10,85000,발주완료
PO-2607-006,2026-07-11,2026-07-21,(주)한국솔더마스크,금도금액,L,20,220000,발주완료
PO-2607-007,2026-07-12,2026-07-15,(주)대흥드릴,테스트 프로브,개,200,3500,발주완료
PO-2607-008,2026-07-13,2026-07-20,(주)일신소재,주석도금액,L,60,32000,발주완료
PO-2607-008,2026-07-13,2026-07-20,(주)일신소재,박리액,L,80,5200,발주완료
PO-2607-009,2026-06-25,2026-07-02,코리아동박(주),동박적층판(CCL),장,600,3780,입고완료
PO-2607-010,2026-06-28,2026-07-05,(주)동양CCL,드라이필름,Roll,15,46000,취소
