일자,라인,제품코드,목표수량,생산수량,양품수량
2026-07-01,1호기,PCB-A2401,1000,985,972
2026-07-01,2호기,PCB-B1802,900,912,896
2026-07-01,3호기,PCB-C3305,1100,1054,1020
2026-07-01,4호기,PCB-D0401,800,795,789
2026-07-02,1호기,PCB-A2401,1000,1008,995
2026-07-02,2호기,PCB-B1802,900,885,861
2026-07-02,3호기,PCB-C3305,1100,1120,1105
2026-07-02,4호기,PCB-D0401,800,810,801
2026-07-03,1호기,PCB-A2401,1000,970,955
2026-07-03,2호기,PCB-B1802,900,905,894
2026-07-03,3호기,PCB-C3305,1100,1088,1042
2026-07-03,4호기,PCB-D0401,800,782,776
2026-07-04,1호기,PCB-A2401,1000,1015,1003
2026-07-04,2호기,PCB-B1802,900,890,878
2026-07-04,3호기,PCB-C3305,1100,1095,1079
2026-07-04,4호기,PCB-D0401,800,805,798
2026-07-05,1호기,PCB-A2401,1000,992,981
2026-07-05,2호기,PCB-B1802,900,915,902
2026-07-05,3호기,PCB-C3305,1100,1102,1088
2026-07-05,4호기,PCB-D0401,800,798,790
