자재코드,분류,자재명,단위,현재고,최소재고,최대재고,공급업체,리드타임(일)
MAT-001,동박적층판(CCL),FR-4 1.6T 양면 CCL,매,850,300,2000,(주)CCL재료,7
MAT-002,동박적층판(CCL),FR-4 1.0T 4층 CCL,매,180,200,1500,(주)CCL재료,7
MAT-003,드릴비트,드릴비트 Φ0.2mm,개,450,200,1000,(주)드릴공구,3
MAT-004,드릴비트,드릴비트 Φ0.3mm,개,80,150,800,(주)드릴공구,3
MAT-005,솔더마스크,솔더마스크 Green (5kg),통,25,10,80,(주)잉크코리아,5
MAT-006,솔더마스크,솔더마스크 White (5kg),통,8,10,50,(주)잉크코리아,5
MAT-007,도금약품,황산동 도금액 (20L),통,32,15,100,(주)한국케미칼,4
MAT-008,도금약품,금도금액 (5L),통,6,5,30,(주)한국케미칼,10
MAT-009,에칭약품,염화제2철 (30L),통,45,20,120,(주)에칭텍,3
MAT-010,필름,드라이필름 (Roll),Roll,28,15,80,(주)필름소재,6
MAT-011,필름,아트웍필름,매,320,100,800,(주)필름소재,4
MAT-012,기타,기판 절단날,개,14,10,50,(주)대흥드릴,5
