접수일,거래처,제품코드,불량유형,심각도,처리상태,내용
2026-07-02,(주)삼성전자,PCB-A2401,단락(Short),긴급,원인분석,납품 LOT 중 3매에서 전기검사 단락 발견
2026-07-03,LG이노텍,PCB-B1802,치수불량,중요,대책수립,홀 위치 공차 초과로 조립 불가 보고
2026-07-05,현대모비스,PCB-C3305,이물(Foreign Material),경미,완료,솔더마스크 표면 이물 부착 5건
2026-07-06,(주)코리아서킷,PCB-D0401,박리(Peeling),긴급,효과검증,리플로우 후 패드 박리 발생
2026-07-08,(주)삼성전자,PCB-A2401,도금불량,중요,원인분석,단자부 도금 두께 미달 측정
2026-07-09,LG이노텍,PCB-B1802,변색,경미,접수,보관 중 표면 변색 문의
2026-07-10,현대모비스,PCB-C3305,개방(Open),긴급,원인분석,실장 후 회로 개방 2건 발견
2026-07-11,(주)코리아서킷,PCB-D0401,실크인쇄 불량,경미,완료,실크 문자 번짐 지적
2026-07-12,(주)삼성전자,PCB-A2401,기공(Void),중요,접수,단면 분석 시 도금 기공 확인
2026-07-13,LG이노텍,PCB-B1802,치수불량,중요,접수,외형 치수 편차 재발
