성적서번호,검사일,거래처,제품코드,LOT번호,외관검사,치수검사,전기검사,종합판정
QC-2607-001,2026-07-01,(주)삼성전자,PCB-A2401,LOT-240701A,합격,합격,합격,합격
QC-2607-002,2026-07-02,LG이노텍,PCB-B1802,LOT-240702B,합격,합격,합격,합격
QC-2607-003,2026-07-03,현대모비스,PCB-C3305,LOT-240703C,합격,불합격,합격,불합격
QC-2607-004,2026-07-04,(주)코리아서킷,PCB-D0401,LOT-240704D,합격,합격,합격,합격
QC-2607-005,2026-07-05,(주)삼성전자,PCB-A2401,LOT-240705A,불합격,합격,합격,불합격
QC-2607-006,2026-07-06,LG이노텍,PCB-B1802,LOT-240706B,합격,합격,합격,합격
QC-2607-007,2026-07-07,현대모비스,PCB-C3305,LOT-240707C,합격,합격,합격,합격
QC-2607-008,2026-07-08,(주)코리아서킷,PCB-D0401,LOT-240708D,합격,합격,불합격,불합격
QC-2607-009,2026-07-09,(주)삼성전자,PCB-A2401,LOT-240709A,합격,합격,합격,합격
QC-2607-010,2026-07-10,LG이노텍,PCB-B1802,LOT-240710B,합격,합격,합격,합격
